작성월	지역코드	지역명	상권코드	상권명	총건물수	1층생활시설수	2층생활시설수	문화집회시설수	종교시설수	판매시설수	의료시설수	아동노인복지시설수	수련시설수	운동시설수	숙박시설수	여가및오락시설수	총가스사용량	상업용가스사용량	총전기사용량
202309	11110	종로구	9169	광화문역_2	122.0	32.0	43.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2767604	466867	8041.185
202310	11110	종로구	9169	광화문역_2	217.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1528333	421340	4359.741
202311	11110	종로구	9169	광화문역_2	217.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	3992501	602438	4752.743
202312	11110	종로구	9169	광화문역_2	217.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	7283291	765284	5505.298
202401	11110	종로구	9169	광화문역_2	217.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	8177402	735605	6215.523
202402	11110	종로구	9169	광화문역_2	217.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	6373507	703044	5506.676
202403	11110	종로구	9169	광화문역_2	217.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	4834511	644064	4949.466
202404	11110	종로구	9169	광화문역_2	217.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2500167	543260	4602.077
202406	11110	종로구	9169	광화문역_2	217.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2444223	421534	5433.032
202407	11110	종로구	9169	광화문역_2	217.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2994574	402576	6432.963
202408	11110	종로구	9169	광화문역_2	217.0	46.0	87.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	3271991	403114	7322.52
202409	11110	종로구	9169	광화문역_2	114.0	28.0	41.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2807675	330227	8044.651
202410	11110	종로구	9169	광화문역_2	114.0	28.0	41.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1532824	444131	6308.882
202207	11110	종로구	9170	동대문시장_1	310.0	177.0	74.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	811050	648511	2764.269
202208	11110	종로구	9170	동대문시장_1	310.0	177.0	74.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	771879	625340	2715.827
202210	11110	종로구	9170	동대문시장_1	310.0	177.0	74.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	559854	483746	1931.116
202211	11110	종로구	9170	동대문시장_1	310.0	177.0	75.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	843502	714621	1828.172
202301	11110	종로구	9170	동대문시장_1	310.0	177.0	75.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	2278399	1402007	2391.432
202301	11110	종로구	9170	동대문시장_1	310.0	177.0	75.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	1664290	1046914	2140.508
202303	11110	종로구	9170	동대문시장_1	310.0	177.0	75.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	1029692	827766	1938.195
202307	11110	종로구	9170	동대문시장_1	310.0	176.0	76.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	838700	675752	2741.334
202308	11110	종로구	9170	동대문시장_1	20.0	7.0	9.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1867839	1867839	2061.393
202309	11110	종로구	9170	동대문시장_1	20.0	7.0	9.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1223531	1223531	1708.551
202311	11110	종로구	9170	동대문시장_1	310.0	176.0	76.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	912192	904547	1954.021
202401	11110	종로구	9170	동대문시장_1	310.0	176.0	76.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	1442889	1432061	2404.763
202402	11110	종로구	9170	동대문시장_1	310.0	176.0	76.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	993255	985827	2145.759
202403	11110	종로구	9170	동대문시장_1	310.0	176.0	76.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	919592	911558	2045.29
202404	11110	종로구	9170	동대문시장_1	310.0	178.0	76.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	610406	603437	1957.25
202405	11110	종로구	9170	동대문시장_1	310.0	178.0	76.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	621511	614605	2048.039
202406	11110	종로구	9170	동대문시장_1	310.0	178.0	76.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	628768	622502	2335.034
202407	11110	종로구	9170	동대문시장_1	310.0	178.0	76.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	732534	726222	2817.98
202408	11110	종로구	9170	동대문시장_1	310.0	178.0	76.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	3.0	7.0	661465	655387	2971.951
202409	11110	종로구	9170	동대문시장_1	17.0	5.0	8.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1497435	1497435	1716.892
202210	11110	종로구	9171	동대문역_1	135.0	39.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	126674	114358	497.442
202210	11110	종로구	9171	동대문역_1	135.0	39.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	126674	114358	497.442
